   (-126.055387292516471,8.717032126607858)     (-8.689060276483165,-0.561167480016039)  (-153.818302489350089,-34.729328149467065)      (52.366858055762577,0.000000000000000)   (260.255185306020167,-27.260513785673567)     (4.165484085210320,-67.352040382750488)   (183.452853840388343,128.783751158425048)
  (-479.653800007062785,26.627246724130195)    (153.004868400958742,86.645519959007032)    (50.917400277748975,-17.304026212414449)    (260.255185306020167,27.260513785673567)     (312.812030087706262,0.000000000000000)     (18.733127172688434,-8.104083584885659)  (316.314589208026632,-169.002448208393560)
  (-127.063791356093375,-9.150271004247452)    (-40.363575988856219,77.290947301063639)      (5.950637603943864,50.208463501657285)      (4.165484085210320,67.352040382750488)      (18.733127172688434,8.104083584885659)      (41.256948570574288,0.000000000000000)    (164.188175769303513,62.045166482208685)
  (181.995128234559985,155.777718460986847)  (177.911453783163864,-145.124325321040914) (-189.397083209622110,-456.980238531661428)  (183.452853840388343,-128.783751158425048)   (316.314589208026632,169.002448208393560)   (164.188175769303513,-62.045166482208685)    (-461.107409150131332,0.000000000000000)
   (-255.550549982858058,0.000000000000000)   (-157.916318068374295,86.724641650910044)   (114.070297903367020,345.190900849204183)   (-69.328639645059397,138.002473787985082) (-270.271197956486674,-412.028676568776575)  (-195.592237388877180,-33.942575653227543)   (185.792857196585885,137.417358414116563)
 (-157.916318068374295,-86.724641650910044)      (54.212163341822333,0.000000000000000)  (-177.014378187083651,134.140241105087483)   (-15.488227873479914,123.156111188426976)   (191.527664775449267,107.761285158246409)     (58.964436724986022,14.878062099219870)   (-53.959187048664404,205.782802700495608)
 (114.070297903367020,-345.190900849204183) (-177.014378187083651,-134.140241105087483)     (-78.802782581532853,0.000000000000000)  (-234.937522613037373,208.319890693566549)   (-43.321269208057060,135.438873047222643)     (92.800666238523803,51.984305977978423)    (76.311513858978486,253.908193760043247)
 (-69.328639645059397,-138.002473787985082)  (-15.488227873479914,-123.156111188426976) (-234.937522613037373,-208.319890693566549)      (75.884187355457968,0.000000000000000)   (238.870085780388422,186.461323442932240)     (79.712575193580363,41.050126908970924)   (-77.322213682641205,128.706323611916588)
 (-270.271197956486674,412.028676568776575)  (191.527664775449267,-107.761285158246409)  (-43.321269208057060,-135.438873047222643)  (238.870085780388422,-186.461323442932240)     (581.456548726844744,0.000000000000000)    (193.713404346317759,-7.369918595385980)   (103.358579978239518,-11.032819983603737)
  (-195.592237388877180,33.942575653227543)    (58.964436724986022,-14.878062099219870)    (92.800666238523803,-51.984305977978423)    (79.712575193580363,-41.050126908970924)     (193.713404346317759,7.369918595385980)      (-2.395002574601406,0.000000000000000)     (-6.254024521417888,16.290723300567262)
 (185.792857196585885,-137.417358414116563)  (-53.959187048664404,-205.782802700495608)   (76.311513858978486,-253.908193760043247)  (-77.322213682641205,-128.706323611916588)    (103.358579978239518,11.032819983603737)    (-6.254024521417888,-16.290723300567262)    (-374.804564285132642,0.000000000000000)
    (424.187156260264771,0.000000000000000)     (8.296806771552410,213.804214470680222)  (431.163512705079768,-354.636602225500155)   (-233.218217506806013,32.835907648104879)  (-575.392989077911807,123.041385129340057)    (16.110263009226799,281.646465518288210) (-138.084757165466073,-262.627920862967869)
   (8.296806771552410,-213.804214470680222)    (-115.780854703854004,0.000000000000000)     (15.842419632155089,12.543304210834100)    (-95.516587572423219,27.627283117312196)   (-42.517506647258131,-84.916318401592122)     (-32.225337389211539,3.580667763639919)  (-131.727540306567420,110.958844797623186)
  (431.163512705079768,354.636602225500155)    (15.842419632155089,-12.543304210834100)    (-428.148722890965132,0.000000000000000)   (16.253509691796864,-159.737564293361004)   (31.735625200830228,-560.211374959273712)  (-330.302557642543093,-92.775639037518786)  (-192.879830599156094,102.676308710250282)
 (-233.218217506806013,-32.835907648104879)   (-95.516587572423219,-27.627283117312196)    (16.253509691796864,159.737564293361004)     (144.197710543248888,0.000000000000000)  (146.579920739930145,-195.832324218138695)   (36.816931788685338,-137.862994438526357)   (136.440463917696604,-19.317958233900885)
(-575.392989077911807,-123.041385129340057)    (-42.517506647258131,84.916318401592122)    (31.735625200830228,560.211374959273712)   (146.579920739930145,195.832324218138695)    (-230.797742972578249,0.000000000000000)   (-199.995443518444660,48.802397982252259)   (219.950955162518397,336.623725957451825)
  (16.110263009226799,-281.646465518288210)    (-32.225337389211539,-3.580667763639919)   (-330.302557642543093,92.775639037518786)    (36.816931788685338,137.862994438526357)  (-199.995443518444660,-48.802397982252259)    (-117.847026021390903,0.000000000000000)      (81.130128701446225,6.152364888004168)
 (-138.084757165466073,262.627920862967869) (-131.727540306567420,-110.958844797623186) (-192.879830599156094,-102.676308710250282)    (136.440463917696604,19.317958233900885)  (219.950955162518397,-336.623725957451825)     (81.130128701446225,-6.152364888004168)     (324.189479785274614,0.000000000000000)
    (101.498220882421307,0.000000000000000)    (-75.696671358880806,-4.790546733077363)  (-603.847192115995881,357.628375591127337)  (-17.759912252720813,-192.945037303183540)  (-39.658481161686296,-382.371281201676879) (-249.095757578661392,-203.767371669558372)  (-359.218027870772119,191.004482051502634)
    (-75.696671358880806,4.790546733077363)     (102.602727335298098,0.000000000000000)  (-150.097579184985761,188.197869689853633)     (12.608439448800041,20.277274185386602)   (-57.733812952315127,-21.391719923645162)    (98.632005837553095,-26.460047056852193)  (183.958964003671127,-107.838487863943286)
(-603.847192115995881,-357.628375591127337) (-150.097579184985761,-188.197869689853633)     (-15.261155018611131,0.000000000000000)    (23.121730120029625,156.179595244314868)   (391.898457552860293,-89.760809744811098)   (46.607997712913360,-298.006618673650621)    (38.225902563057922,498.441473887905431)
  (-17.759912252720813,192.945037303183540)    (12.608439448800041,-20.277274185386602)   (23.121730120029625,-156.179595244314868)     (-44.123903803921166,0.000000000000000)    (164.552499635934453,91.046439333948570)   (186.458407507029591,-20.244274863139662)   (22.694798258543784,-256.661290343021506)
  (-39.658481161686296,382.371281201676879)    (-57.733812952315127,21.391719923645162)    (391.898457552860293,89.760809744811098)   (164.552499635934453,-91.046439333948570)      (14.871093171727221,0.000000000000000)     (46.585133045535024,-6.546089744310237)  (231.541701072482567,-584.045950063355690)
 (-249.095757578661392,203.767371669558372)     (98.632005837553095,26.460047056852193)    (46.607997712913360,298.006618673650621)    (186.458407507029591,20.244274863139662)      (46.585133045535024,6.546089744310237)     (-17.764837137488051,0.000000000000000)    (202.306964483266484,13.045292656661083)
(-359.218027870772119,-191.004482051502634)   (183.958964003671127,107.838487863943286)   (38.225902563057922,-498.441473887905431)    (22.694798258543784,256.661290343021506)   (231.541701072482567,584.045950063355690)   (202.306964483266484,-13.045292656661083)    (-141.822145429426286,0.000000000000000)
