 (-3.595990145828489,4.371864604140435)  (5.936297139474699,-1.168798339691938)   (9.459925388118592,6.180680519712224)  (5.296749482136509,-3.427767065154159)   (8.564584467129785,0.000000000000000)  (15.419047498151579,5.408778401584681)   (3.175735807510284,9.021154743238585)
(-3.018377623914809,-5.880223560061953)  (-9.412865489537317,1.459639202433367)  (4.074285012717536,-2.797335852597418) (-2.753615795187125,-2.537400488266595) (15.419047498151579,-5.408778401584681)   (6.319143514536331,0.000000000000000)  (2.056497148115710,-7.197933007913790)
(-2.118488203487095,-5.754940129913197)  (0.375013035054678,-0.066827091837076) (11.552233157748470,-1.321980533354821) (-3.230617670660837,-9.494897718942958)  (3.175735807510284,-9.021154743238585)   (2.056497148115710,7.197933007913790)  (-4.120953633001938,0.000000000000000)
  (-1.167911091769530,0.000000000000000)    (7.860363044450966,1.340274126265330)    (2.980905802277460,0.027624322627444)    (0.069810233489855,9.305328843343665)  (-0.808983066294015,-2.306524007502266)  (-7.197192321080474,-0.803410075689575)   (-0.985475033537033,4.914444385786873)
  (7.860363044450966,-1.340274126265330)   (-9.292211068760919,0.000000000000000)    (1.456570094731856,1.559278899146564)   (-3.872186958897942,3.620553258535058) (-10.593463394574469,-4.233190842586201)  (-0.384401594476768,-1.516253713890054)   (7.449473568137404,12.589612344743832)
  (2.980905802277460,-0.027624322627444)   (1.456570094731856,-1.559278899146564)    (1.479346561238156,0.000000000000000)    (6.117084755374186,6.620099310860483)  (-1.844976451118417,-0.281951529022884)    (0.776149064761686,7.223032939907706)   (8.381356714170932,-1.645181100280012)
  (0.069810233489855,-9.305328843343665)  (-3.872186958897942,-3.620553258535058)   (6.117084755374186,-6.620099310860483)   (-9.024413251528596,0.000000000000000)   (3.636207724036925,-1.531265385990859)    (4.317689254301778,2.555352691339498)    (2.859067081860918,4.180195158252247)
  (-0.808983066294015,2.306524007502266)  (-10.593463394574469,4.233190842586201)   (-1.844976451118417,0.281951529022884)    (3.636207724036925,1.531265385990859)    (4.197243629470591,0.000000000000000)    (0.684737304291518,2.818533990506838)  (-1.571156740676706,-1.336891571895963)
  (-7.197192321080474,0.803410075689575)   (-0.384401594476768,1.516253713890054)   (0.776149064761686,-7.223032939907706)   (4.317689254301778,-2.555352691339498)   (0.684737304291518,-2.818533990506838)   (-5.842017134267085,0.000000000000000)   (7.371829320797268,-5.451052855012414)
 (-0.985475033537033,-4.914444385786873)  (7.449473568137404,-12.589612344743832)    (8.381356714170932,1.645181100280012)   (2.859067081860918,-4.180195158252247)   (-1.571156740676706,1.336891571895963)    (7.371829320797268,5.451052855012414)   (19.649962355617269,0.000000000000000)
  (-0.725320142968519,0.000000000000000)   (1.831486413352801,-4.524025041215847)    (0.949425587970858,4.046344707763629)   (-1.683268737774488,0.910456203357705)   (-6.543614258027346,9.765795327557097)  (-6.305448724875272,-2.096289492007409)  (-9.520948151244029,-1.161370458150166)
   (1.831486413352801,4.524025041215847)    (7.630097641116122,0.000000000000000)   (-2.992005637940791,5.621702381476252)   (4.978087854592686,-3.865322766374787)  (-2.821359937386901,-7.037352396462731)   (2.185929096453209,-8.313302287393473)   (6.640131728215160,-8.519485834625936)
  (0.949425587970858,-4.046344707763629)  (-2.992005637940791,-5.621702381476252)    (6.681065570887489,0.000000000000000)  (-4.341401776335690,-7.294304443798224) (-3.796904625290685,-18.974809365836535)   (0.934763258428919,-5.760935897366037)    (7.456922041240614,6.235176785534530)
 (-1.683268737774488,-0.910456203357705)    (4.978087854592686,3.865322766374787)   (-4.341401776335690,7.294304443798224)   (-9.850354932253614,0.000000000000000)   (-3.124241436266093,1.119491036030261)   (4.457316520975761,-8.106175635112020)   (0.328861447870966,-4.754613393366454)
 (-6.543614258027346,-9.765795327557097)   (-2.821359937386901,7.037352396462731)  (-3.796904625290685,18.974809365836535)  (-3.124241436266093,-1.119491036030261)   (-2.584846730740634,0.000000000000000)   (2.655394875292501,-4.172059323784792)    (9.539576960482824,3.556482094470968)
  (-6.305448724875272,2.096289492007409)    (2.185929096453209,8.313302287393473)    (0.934763258428919,5.760935897366037)    (4.457316520975761,8.106175635112020)    (2.655394875292501,4.172059323784792)    (5.659237060489496,0.000000000000000)   (0.230197623195797,-0.843236715546140)
  (-9.520948151244029,1.161370458150166)    (6.640131728215160,8.519485834625936)   (7.456922041240614,-6.235176785534530)    (0.328861447870966,4.754613393366454)   (9.539576960482824,-3.556482094470968)    (0.230197623195797,0.843236715546140)   (-6.809878466530356,0.000000000000000)
 (-18.869478434264842,0.000000000000000)   (-0.147378292972761,2.809153745053460)  (-4.215963350449259,-9.403369405707432)  (-3.334963621850219,-2.577524471301190)   (2.978487198187501,-3.778479807370045)  (-0.812122627280239,-2.949940586950339)  (-2.943483107456433,-2.795931214728355)
 (-0.147378292972761,-2.809153745053460)   (-6.258412464335243,0.000000000000000)    (5.102370378718857,2.507447727643158)   (-1.912354286636710,1.361793194584650)   (-2.692245299780995,5.574834779204862)    (5.962798309695681,1.036938653306688)   (9.686330019988489,-4.089410047776253)
  (-4.215963350449259,9.403369405707432)   (5.102370378718857,-2.507447727643158)    (8.136169131816583,0.000000000000000)   (0.741925663318298,-4.080102402005847)  (-7.168504705622472,-3.329228023401009)   (3.716173299494207,10.491141171865566)  (-0.432762526164727,-4.603450555272605)
  (-3.334963621850219,2.577524471301190)  (-1.912354286636710,-1.361793194584650)    (0.741925663318298,4.080102402005847)   (-1.766779025808586,0.000000000000000)   (-6.111011734495005,3.070654008685302)  (-3.700108416120036,-2.004879079467636)  (-3.461363957813543,-5.457029099615855)
   (2.978487198187501,3.778479807370045)  (-2.692245299780995,-5.574834779204862)   (-7.168504705622472,3.329228023401009)  (-6.111011734495005,-3.070654008685302)   (-9.993318284465454,0.000000000000000)   (-1.790659411912064,5.998052877462678) (-15.860362787317152,-2.346234217380835)
  (-0.812122627280239,2.949940586950339)   (5.962798309695681,-1.036938653306688)  (3.716173299494207,-10.491141171865566)   (-3.700108416120036,2.004879079467636)  (-1.790659411912064,-5.998052877462678)   (17.385532227999441,0.000000000000000) (-3.162602028574392,-14.136709063803378)
  (-2.943483107456433,2.795931214728355)    (9.686330019988489,4.089410047776253)   (-0.432762526164727,4.603450555272605)   (-3.461363957813543,5.457029099615855)  (-15.860362787317152,2.346234217380835)  (-3.162602028574392,14.136709063803378)   (11.366286849058151,0.000000000000000)
